alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin
23.25,1.4069,0.14146,0.13875,-0.0107,0.0344,1,-5.7412,0,0.2023
23.5,1.4062,0.14439,0.14166,-0.0124,0.0323,1,-5.8079,0,0.2028
23.75,1.4068,0.14714,0.1444,-0.0142,0.0301,1,-5.8807,0,0.2032
24,1.4034,0.15039,0.14768,-0.0163,0.028,1,-5.9309,0,0.2039
24.5,1.3485,0.16336,0.16085,-0.0247,0.026,1,-5.7477,0,0.2092
24.75,1.3548,0.1652,0.1627,-0.0262,0.0249,1,-5.8479,0,0.2094
25,1.3616,0.16699,0.16451,-0.0278,0.0248,1,-5.9521,0,0.2095
25.25,1.368,0.16885,0.16638,-0.0294,0.0246,1,-6.0549,0,0.2097
25.5,1.3736,0.17086,0.16841,-0.031,0.0243,1,-6.1532,0,0.21
25.75,1.3764,0.17335,0.17092,-0.033,0.024,1,-6.2349,0,0.2105
26,1.3088,0.18882,0.18662,-0.0414,0.0241,1,-5.8649,0,0.2178
26.25,1.3147,0.19099,0.18879,-0.0431,0.0236,1,-5.9622,0,0.2181
26.5,1.3197,0.19333,0.19112,-0.045,0.0227,1,-6.0542,0,0.2184
26.75,1.3229,0.19602,0.19378,-0.047,0.0212,1,-6.1346,0,0.219
27,1.3233,0.19928,0.197,-0.0494,0.019,1,-6.1964,0,0.2198
27.25,1.3242,0.20248,0.20019,-0.0516,0.0171,1,-6.2602,0,0.2206
28,1.2667,0.22618,0.22411,-0.0644,0.0136,1,-6.0037,0,0.2306
28.25,1.2724,0.22857,0.22651,-0.0663,0.0129,1,-6.0978,0,0.2308
28.5,1.2787,0.23081,0.22877,-0.0681,0.0129,1,-6.1982,0,0.231
28.75,1.2851,0.23302,0.23099,-0.0698,0.0129,1,-6.3,0,0.2311
29,1.2913,0.23523,0.23322,-0.0716,0.0128,1,-6.4021,0,0.2312
29.25,1.2973,0.2375,0.2355,-0.0735,0.0128,1,-6.5027,0,0.2314
29.5,1.3027,0.2399,0.23791,-0.0754,0.0127,1,-6.5996,0,0.2316
29.75,1.3064,0.24272,0.24076,-0.0774,0.0127,1,-6.683,0,0.232
30,1.2369,0.26522,0.26349,-0.0863,0.0126,1,-6.1505,0,0.2429
