city-city,dist,label,sum_gdp
Hamburg-Lisbon,2200.4346976564225,Ham-Lis-dir,273.5
Hamburg-Marseille,1190.4968772530212,Ham-Mar-dir,263.9
Hamburg-Cologne,358.2521971688957,Ham-Col-dir,260.6
Hamburg-Helsinki,1167.6056201918514,Ham-Hel-dir,252.2
Hamburg-Lyon,941.7652370354924,Ham-Lyo-dir,251.5
Hamburg-Düsseldorf,339.5162661722241,Ham-Düs-dir,249.0
Hamburg-Warsaw,753.3793747636751,Ham-War-dir,247.6
Hamburg-Rotterdam,414.4794481714808,Ham-Rot-dir,244.6
Hamburg-Prague,493.3692374774275,Ham-Pra-dir,244.3
Hamburg-Lille,573.1567697957425,Ham-Lil-dir,244.2
Hamburg-Turin,958.0251914011686,Ham-Tur-dir,238.4
Hamburg-Utrecht,366.2434061730368,Ham-Utr-dir,234.6
Hamburg-Budapest,930.1427062812348,Ham-Bud-dir,232.1
Hamburg-Toulouse,1269.6283751660696,Ham-Tou-dir,221.7
Hamburg-Bordeaux,1235.1451321831462,Ham-Bor-dir,221.7
Hamburg-Bucharest,1547.9974028030629,Ham-Buc-dir,221.7
Hamburg-Malmö,299.39837612495415,Ham-Mal-dir,216.7
Hamburg-Nantes,1082.5198874609805,Ham-Nan-dir,213.8
Hamburg-The Hague,419.3472480168757,Ham-The-dir,212.6
Hamburg-Bremen,95.57053925798962,Ham-Bre-dir,211.8
Hamburg-Bonn,372.9996186976074,Ham-Bon-dir,206.3
Hamburg-Dresden,378.0736758091856,Ham-Dre-dir,205.7
Hamburg-Bologna,1011.3456152704736,Ham-Bol-dir,204.8
Hamburg-London,722.3949268664867,Ham-Lon-dir,964.4
Hamburg-Valencia,1752.292537055113,Ham-Val-dir,221.8
Hamburg-Naples,1448.3132631273381,Ham-Nap-dir,223.0
Hamburg-Dublin,1078.40396695569,Ham-Dub-dir,321.9
Hamburg-Athens,2025.4518108194495,Ham-Ath-dir,244.6
Hamburg-Barcelona,1473.6455934853993,Ham-Bar-dir,334.1
Hamburg-Gothenburg,479.20607831919017,Ham-Got-dir,241.9
Hamburg-Nuremburg,461.0939567805685,Ham-Nur-dir,228.6
Hamburg-Braunschweig,147.2276439346807,Ham-Bra-dir,221.5
Hamburg-Hanover,132.28061199095598,Ham-Han-dir,219.7
Hamburg-Antwerp,460.7821418002683,Ham-Ant-dir,216.3
Hamburg-Brescia,891.0521914350003,Ham-Bre-dir,206.0
Stuttgart-Frankfurt,151.66356004102747,Stu-Fra-dir,307.9
Stuttgart-Stockholm,1310.3870221367467,Stu-Sto-dir,303.5
Stuttgart-Brussels,418.28414541762015,Stu-Bru-dir,303.4
Stuttgart-Vienna,533.2586402876324,Stu-Vie-dir,287.9
Stuttgart-Lisbon,1844.3310238918427,Stu-Lis-dir,266.5
Stuttgart-Marseille,677.9202688651804,Stu-Mar-dir,256.9
Stuttgart-Cologne,288.95732186521445,Stu-Col-dir,253.6
Stuttgart-Helsinki,1619.1104597880044,Stu-Hel-dir,245.2
Stuttgart-Lyon,470.23364789986476,Stu-Lyo-dir,244.5
Stuttgart-Düsseldorf,322.1149049682937,Stu-Düs-dir,242.0
Stuttgart-Warsaw,920.1810802209981,Stu-War-dir,240.6
Stuttgart-Rotterdam,484.6678037554027,Stu-Rot-dir,237.6
Stuttgart-Prague,408.38656945519494,Stu-Pra-dir,237.3
Stuttgart-Lille,487.92481166050123,Stu-Lil-dir,237.2
Stuttgart-Turin,428.347598046033,Stu-Tur-dir,231.4
Stuttgart-Utrecht,469.3353239779785,Stu-Utr-dir,227.6
Stuttgart-Budapest,748.4270406206019,Stu-Bud-dir,225.1
Stuttgart-Toulouse,827.8860169974276,Stu-Tou-dir,214.7
Stuttgart-Bordeaux,864.8701126037997,Stu-Bor-dir,214.7
Stuttgart-Bucharest,1378.1295112915568,Stu-Buc-dir,214.7
